# size 	 execution time
256 	 87.36	22.81	160.36	
512 	 339.47	87.11	175.73	
1024 	 1348.03	340.14	228.21	
2048 	 5388.25	1359.10	483.40	
4092 	 21435.51	5405.34	1535.10	
